Field,ID,Type (Type),default,en-us
HolographicScreenshotCaption9,458,Text,,
HolographicScreenshotCaption10,459,Text,,
HolographicScreenshotCaption11,460,Text,,
HolographicScreenshotCaption12,461,Text,,
HolographicScreenshotCaption13,462,Text,,
HolographicScreenshotCaption14,463,Text,,
HolographicScreenshotCaption15,464,Text,,
HolographicScreenshotCaption16,465,Text,,
HolographicScreenshotCaption17,466,Text,,
HolographicScreenshotCaption18,467,Text,,
HolographicScreenshotCaption19,468,Text,,
HolographicScreenshotCaption20,469,Text,,
HolographicScreenshotCaption21,470,Text,,
HolographicScreenshotCaption22,471,Text,,
HolographicScreenshotCaption23,472,Text,,
HolographicScreenshotCaption24,473,Text,,
HolographicScreenshotCaption25,474,Text,,
HolographicScreenshotCaption26,475,Text,,
HolographicScreenshotCaption27,476,Text,,
HolographicScreenshotCaption28,477,Text,,
HolographicScreenshotCaption29,478,Text,,
HolographicScreenshotCaption30,479,Text,,
SurfaceHubScreenshot11,510,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot12,511,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot13,512,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot14,513,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot15,514,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot16,515,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot17,516,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot18,517,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot19,518,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot20,519,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot21,520,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot22,521,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot23,522,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot24,523,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot25,524,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot26,525,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot27,526,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot28,527,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot29,528,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot30,529,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshotCaption11,560,Text,,
SurfaceHubScreenshotCaption12,561,Text,,
SurfaceHubScreenshotCaption13,562,Text,,
SurfaceHubScreenshotCaption14,563,Text,,
SurfaceHubScreenshotCaption15,564,Text,,
SurfaceHubScreenshotCaption16,565,Text,,
SurfaceHubScreenshotCaption17,566,Text,,
SurfaceHubScreenshotCaption18,567,Text,,
SurfaceHubScreenshotCaption19,568,Text,,
SurfaceHubScreenshotCaption20,569,Text,,
SurfaceHubScreenshotCaption21,570,Text,,
SurfaceHubScreenshotCaption22,571,Text,,
SurfaceHubScreenshotCaption23,572,Text,,
SurfaceHubScreenshotCaption24,573,Text,,
SurfaceHubScreenshotCaption25,574,Text,,
SurfaceHubScreenshotCaption26,575,Text,,
SurfaceHubScreenshotCaption27,576,Text,,
SurfaceHubScreenshotCaption28,577,Text,,
SurfaceHubScreenshotCaption29,578,Text,,
SurfaceHubScreenshotCaption30,579,Text,,
StoreLogo720x1080,600,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3046104524511659806
StoreLogo1080x1080,601,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3033564646883307451
StoreLogo300x300,602,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3040215166271749825
OverrideLogosForWin10,603,True/False,,False
StoreLogoOverride150x150,604,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3059323575818720763
StoreLogoOverride71x71,605,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3025755825634070154
PromoImage1920x1080,606,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3018553121525877534
PromoImage2400x1200,607,Relative path (or URL to file in Partner Center),,
XboxBrandedKeyArt584x800,608,Relative path (or URL to file in Partner Center),,
XboxTitledHero1920x1080,609,Relative path (or URL to file in Partner Center),,
XboxFeaturedPromo1080x1080,610,Relative path (or URL to file in Partner Center),,
OptionalPromo358x358,611,Relative path (or URL to file in Partner Center),,
OptionalPromo1000x800,612,Relative path (or URL to file in Partner Center),,
OptionalPromo414x180,613,Relative path (or URL to file in Partner Center),,
Feature1,700,Text,,"AI Hub (AI Chat): Your OS-level AI assistant. Chat with top cloud models (Claude) or local LLMs, analyze documents, and process images directly from your sidebar."
Feature2,701,Text,,Sequential Clipboard: Copy multiple items into dedicated slots and paste them sequentially without losing your flow.
Feature3,702,Text,,"Quick Shortcuts: Drag and drop your favorite apps, folders, or games directly into the sidebar for instant access."
Feature4,703,Text,,Pin to Top: Never lose sight of your most important work. Lock any crucial application window above all others with a single click.
Feature5,704,Text,,"Color Picker: Instantly grab, copy, and save any color from your screen. Build custom palettes to streamline your design and development workflow."
Feature6,705,Text,,"KoBox (Drop Zone): A temporary digital blackhole. Drag and drop files here to instantly declutter your workspace, complete with automatic cleanup options."
Feature7,706,Text,,"Snippet Vault: Your personal library for frequently used text, code blocks, or templates. Save them once, copy them instantly whenever you need them."
Feature8,707,Text,,Total Layout Control: Drag and drop to reorder features in the settings. Your custom layout updates instantly on the sidebar.
Feature9,708,Text,,Collapsible UI: Click the Eye icon to instantly shrink the bar out of your way when you need maximum screen real estate.
Feature10,709,Text,,"Glass & Solid Aesthetics: Choose between a classic 'Solid' look or a modern, transparent 'Glass' theme. Fine-tune the blur and glass opacity to match your desktop perfectly."
Feature11,710,Text,,Focus Mode: A built-in timer to keep you locked in during uninterrupted deep work sessions.
Feature12,711,Text,,"Modular Interface: Turn individual features on or off. Hide the tools you don't use to create a compact, distraction-free sidebar."
Feature13,712,Text,,"Smart Auto-Hide Screenshots: Grab your screen with a single click. KoBar automatically hides itself during the capture for a clean, clutter-free image, then instantly reappears."
Feature14,713,Text,,Floating Calculator: A quick-access calculator that stays above all your open windows and can be freely moved anywhere on your screen.
Feature15,714,Text,,
Feature16,715,Text,,
Feature17,716,Text,,
Feature18,717,Text,,
Feature19,718,Text,,
Feature20,719,Text,,
MinimumHardwareReq1,800,Text,,
MinimumHardwareReq2,801,Text,,
MinimumHardwareReq3,802,Text,,
MinimumHardwareReq4,803,Text,,
MinimumHardwareReq5,804,Text,,
MinimumHardwareReq6,805,Text,,
MinimumHardwareReq7,806,Text,,
MinimumHardwareReq8,807,Text,,
MinimumHardwareReq9,808,Text,,
MinimumHardwareReq10,809,Text,,
MinimumHardwareReq11,810,Text,,
RecommendedHardwareReq1,850,Text,,
RecommendedHardwareReq2,851,Text,,
RecommendedHardwareReq3,852,Text,,
RecommendedHardwareReq4,853,Text,,
RecommendedHardwareReq5,854,Text,,
RecommendedHardwareReq6,855,Text,,
RecommendedHardwareReq7,856,Text,,
RecommendedHardwareReq8,857,Text,,
RecommendedHardwareReq9,858,Text,,
RecommendedHardwareReq10,859,Text,,
RecommendedHardwareReq11,860,Text,,
SearchTerm1,900,Text,,sidebar
SearchTerm2,901,Text,,timer
SearchTerm3,902,Text,,focus
SearchTerm4,903,Text,,screenshot
SearchTerm5,904,Text,,notes
SearchTerm6,905,Text,,widget
SearchTerm7,906,Text,,AI
TrailerToPlayAtTopOfListing,999,Relative path (or URL to file in Partner Center),,
Trailer1,1000,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/trailers/3066134058265495004
Trailer2,1001,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/trailers/3060865680013301477
Trailer3,1002,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/trailers/3043079145698592428
Trailer4,1003,Relative path (or URL to file in Partner Center),,
Trailer5,1004,Relative path (or URL to file in Partner Center),,
Trailer6,1005,Relative path (or URL to file in Partner Center),,
Trailer7,1006,Relative path (or URL to file in Partner Center),,
Trailer8,1007,Relative path (or URL to file in Partner Center),,
Trailer9,1008,Relative path (or URL to file in Partner Center),,
Trailer10,1009,Relative path (or URL to file in Partner Center),,
Trailer11,1010,Relative path (or URL to file in Partner Center),,
Trailer12,1011,Relative path (or URL to file in Partner Center),,
Trailer13,1012,Relative path (or URL to file in Partner Center),,
Trailer14,1013,Relative path (or URL to file in Partner Center),,
Trailer15,1014,Relative path (or URL to file in Partner Center),,
TrailerTitle1,1020,Text,,KoBar tool
TrailerTitle2,1021,Text,,KoBar Color
TrailerTitle3,1022,Text,,KoBar
TrailerTitle4,1023,Text,,
TrailerTitle5,1024,Text,,
TrailerTitle6,1025,Text,,
TrailerTitle7,1026,Text,,
TrailerTitle8,1027,Text,,
TrailerTitle9,1028,Text,,
TrailerTitle10,1029,Text,,
TrailerTitle11,1030,Text,,
TrailerTitle12,1031,Text,,
TrailerTitle13,1032,Text,,
TrailerTitle14,1033,Text,,
TrailerTitle15,1034,Text,,
TrailerThumbnail1,1040,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/trailers/1152922700024382792/assets/3040519435945627316
TrailerThumbnail2,1041,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/trailers/1152922700024382793/assets/3050375015987621510
TrailerThumbnail3,1042,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/trailers/1152922700024382972/assets/3047231204804777143
TrailerThumbnail4,1043,Relative path (or URL to file in Partner Center),,
TrailerThumbnail5,1044,Relative path (or URL to file in Partner Center),,
TrailerThumbnail6,1045,Relative path (or URL to file in Partner Center),,
TrailerThumbnail7,1046,Relative path (or URL to file in Partner Center),,
TrailerThumbnail8,1047,Relative path (or URL to file in Partner Center),,
TrailerThumbnail9,1048,Relative path (or URL to file in Partner Center),,
TrailerThumbnail10,1049,Relative path (or URL to file in Partner Center),,
TrailerThumbnail11,1050,Relative path (or URL to file in Partner Center),,
TrailerThumbnail12,1051,Relative path (or URL to file in Partner Center),,
TrailerThumbnail13,1052,Relative path (or URL to file in Partner Center),,
TrailerThumbnail14,1053,Relative path (or URL to file in Partner Center),,
TrailerThumbnail15,1054,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption1,1055,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption2,1056,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption3,1057,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption4,1058,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption5,1059,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption6,1060,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption7,1061,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption8,1062,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption9,1063,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption10,1064,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption11,1065,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption12,1066,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption13,1067,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption14,1068,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption15,1069,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription1,1070,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription2,1071,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription3,1072,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription4,1073,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription5,1074,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription6,1075,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription7,1076,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription8,1077,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription9,1078,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription10,1079,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription11,1080,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription12,1081,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription13,1082,Relative path (or URL to file in Partner Center),,
