Field,ID,Type (Type),default,zh-cn
DesktopScreenshotCaption12,161,Text,,
DesktopScreenshotCaption13,162,Text,,
DesktopScreenshotCaption14,163,Text,,
DesktopScreenshotCaption15,164,Text,,
DesktopScreenshotCaption16,165,Text,,
DesktopScreenshotCaption17,166,Text,,
DesktopScreenshotCaption18,167,Text,,
DesktopScreenshotCaption19,168,Text,,
DesktopScreenshotCaption20,169,Text,,
DesktopScreenshotCaption21,170,Text,,
DesktopScreenshotCaption22,171,Text,,
DesktopScreenshotCaption23,172,Text,,
DesktopScreenshotCaption24,173,Text,,
DesktopScreenshotCaption25,174,Text,,
DesktopScreenshotCaption26,175,Text,,
DesktopScreenshotCaption27,176,Text,,
DesktopScreenshotCaption28,177,Text,,
DesktopScreenshotCaption29,178,Text,,
DesktopScreenshotCaption30,179,Text,,
MobileScreenshot1,200,Relative path (or URL to file in Partner Center),,
MobileScreenshot2,201,Relative path (or URL to file in Partner Center),,
MobileScreenshot3,202,Relative path (or URL to file in Partner Center),,
MobileScreenshot4,203,Relative path (or URL to file in Partner Center),,
MobileScreenshot5,204,Relative path (or URL to file in Partner Center),,
MobileScreenshot6,205,Relative path (or URL to file in Partner Center),,
MobileScreenshot7,206,Relative path (or URL to file in Partner Center),,
MobileScreenshot8,207,Relative path (or URL to file in Partner Center),,
MobileScreenshot9,208,Relative path (or URL to file in Partner Center),,
MobileScreenshot10,209,Relative path (or URL to file in Partner Center),,
MobileScreenshot11,210,Relative path (or URL to file in Partner Center),,
MobileScreenshot12,211,Relative path (or URL to file in Partner Center),,
MobileScreenshot13,212,Relative path (or URL to file in Partner Center),,
MobileScreenshot14,213,Relative path (or URL to file in Partner Center),,
MobileScreenshot15,214,Relative path (or URL to file in Partner Center),,
MobileScreenshot16,215,Relative path (or URL to file in Partner Center),,
MobileScreenshot17,216,Relative path (or URL to file in Partner Center),,
MobileScreenshot18,217,Relative path (or URL to file in Partner Center),,
MobileScreenshot19,218,Relative path (or URL to file in Partner Center),,
MobileScreenshot20,219,Relative path (or URL to file in Partner Center),,
MobileScreenshot21,220,Relative path (or URL to file in Partner Center),,
MobileScreenshot22,221,Relative path (or URL to file in Partner Center),,
MobileScreenshot23,222,Relative path (or URL to file in Partner Center),,
MobileScreenshot24,223,Relative path (or URL to file in Partner Center),,
MobileScreenshot25,224,Relative path (or URL to file in Partner Center),,
MobileScreenshot26,225,Relative path (or URL to file in Partner Center),,
MobileScreenshot27,226,Relative path (or URL to file in Partner Center),,
MobileScreenshot28,227,Relative path (or URL to file in Partner Center),,
MobileScreenshot29,228,Relative path (or URL to file in Partner Center),,
MobileScreenshot30,229,Relative path (or URL to file in Partner Center),,
MobileScreenshotCaption1,250,Text,,
MobileScreenshotCaption2,251,Text,,
MobileScreenshotCaption3,252,Text,,
MobileScreenshotCaption4,253,Text,,
MobileScreenshotCaption5,254,Text,,
MobileScreenshotCaption6,255,Text,,
MobileScreenshotCaption7,256,Text,,
MobileScreenshotCaption8,257,Text,,
MobileScreenshotCaption9,258,Text,,
MobileScreenshotCaption10,259,Text,,
MobileScreenshotCaption11,260,Text,,
MobileScreenshotCaption12,261,Text,,
MobileScreenshotCaption13,262,Text,,
MobileScreenshotCaption14,263,Text,,
MobileScreenshotCaption15,264,Text,,
MobileScreenshotCaption16,265,Text,,
MobileScreenshotCaption17,266,Text,,
MobileScreenshotCaption18,267,Text,,
MobileScreenshotCaption19,268,Text,,
MobileScreenshotCaption20,269,Text,,
MobileScreenshotCaption21,270,Text,,
MobileScreenshotCaption22,271,Text,,
MobileScreenshotCaption23,272,Text,,
MobileScreenshotCaption24,273,Text,,
MobileScreenshotCaption25,274,Text,,
MobileScreenshotCaption26,275,Text,,
MobileScreenshotCaption27,276,Text,,
MobileScreenshotCaption28,277,Text,,
MobileScreenshotCaption29,278,Text,,
MobileScreenshotCaption30,279,Text,,
XboxScreenshot1,300,Relative path (or URL to file in Partner Center),,
XboxScreenshot2,301,Relative path (or URL to file in Partner Center),,
XboxScreenshot3,302,Relative path (or URL to file in Partner Center),,
XboxScreenshot4,303,Relative path (or URL to file in Partner Center),,
XboxScreenshot5,304,Relative path (or URL to file in Partner Center),,
XboxScreenshot6,305,Relative path (or URL to file in Partner Center),,
XboxScreenshot7,306,Relative path (or URL to file in Partner Center),,
XboxScreenshot8,307,Relative path (or URL to file in Partner Center),,
XboxScreenshot9,308,Relative path (or URL to file in Partner Center),,
XboxScreenshot10,309,Relative path (or URL to file in Partner Center),,
XboxScreenshot11,310,Relative path (or URL to file in Partner Center),,
XboxScreenshot12,311,Relative path (or URL to file in Partner Center),,
XboxScreenshot13,312,Relative path (or URL to file in Partner Center),,
XboxScreenshot14,313,Relative path (or URL to file in Partner Center),,
XboxScreenshot15,314,Relative path (or URL to file in Partner Center),,
XboxScreenshot16,315,Relative path (or URL to file in Partner Center),,
XboxScreenshot17,316,Relative path (or URL to file in Partner Center),,
XboxScreenshot18,317,Relative path (or URL to file in Partner Center),,
XboxScreenshot19,318,Relative path (or URL to file in Partner Center),,
XboxScreenshot20,319,Relative path (or URL to file in Partner Center),,
XboxScreenshot21,320,Relative path (or URL to file in Partner Center),,
XboxScreenshot22,321,Relative path (or URL to file in Partner Center),,
XboxScreenshot23,322,Relative path (or URL to file in Partner Center),,
XboxScreenshot24,323,Relative path (or URL to file in Partner Center),,
XboxScreenshot25,324,Relative path (or URL to file in Partner Center),,
XboxScreenshot26,325,Relative path (or URL to file in Partner Center),,
XboxScreenshot27,326,Relative path (or URL to file in Partner Center),,
XboxScreenshot28,327,Relative path (or URL to file in Partner Center),,
XboxScreenshot29,328,Relative path (or URL to file in Partner Center),,
XboxScreenshot30,329,Relative path (or URL to file in Partner Center),,
XboxScreenshotCaption1,350,Text,,
XboxScreenshotCaption2,351,Text,,
XboxScreenshotCaption3,352,Text,,
XboxScreenshotCaption4,353,Text,,
XboxScreenshotCaption5,354,Text,,
XboxScreenshotCaption6,355,Text,,
XboxScreenshotCaption7,356,Text,,
XboxScreenshotCaption8,357,Text,,
XboxScreenshotCaption9,358,Text,,
XboxScreenshotCaption10,359,Text,,
XboxScreenshotCaption11,360,Text,,
XboxScreenshotCaption12,361,Text,,
XboxScreenshotCaption13,362,Text,,
XboxScreenshotCaption14,363,Text,,
XboxScreenshotCaption15,364,Text,,
XboxScreenshotCaption16,365,Text,,
XboxScreenshotCaption17,366,Text,,
XboxScreenshotCaption18,367,Text,,
XboxScreenshotCaption19,368,Text,,
XboxScreenshotCaption20,369,Text,,
XboxScreenshotCaption21,370,Text,,
XboxScreenshotCaption22,371,Text,,
XboxScreenshotCaption23,372,Text,,
XboxScreenshotCaption24,373,Text,,
XboxScreenshotCaption25,374,Text,,
XboxScreenshotCaption26,375,Text,,
XboxScreenshotCaption27,376,Text,,
XboxScreenshotCaption28,377,Text,,
XboxScreenshotCaption29,378,Text,,
XboxScreenshotCaption30,379,Text,,
HolographicScreenshot1,400,Relative path (or URL to file in Partner Center),,
HolographicScreenshot2,401,Relative path (or URL to file in Partner Center),,
HolographicScreenshot3,402,Relative path (or URL to file in Partner Center),,
HolographicScreenshot4,403,Relative path (or URL to file in Partner Center),,
HolographicScreenshot5,404,Relative path (or URL to file in Partner Center),,
HolographicScreenshot6,405,Relative path (or URL to file in Partner Center),,
HolographicScreenshot7,406,Relative path (or URL to file in Partner Center),,
HolographicScreenshot8,407,Relative path (or URL to file in Partner Center),,
HolographicScreenshot9,408,Relative path (or URL to file in Partner Center),,
HolographicScreenshot10,409,Relative path (or URL to file in Partner Center),,
HolographicScreenshot11,410,Relative path (or URL to file in Partner Center),,
HolographicScreenshot12,411,Relative path (or URL to file in Partner Center),,
HolographicScreenshot13,412,Relative path (or URL to file in Partner Center),,
HolographicScreenshot14,413,Relative path (or URL to file in Partner Center),,
HolographicScreenshot15,414,Relative path (or URL to file in Partner Center),,
HolographicScreenshot16,415,Relative path (or URL to file in Partner Center),,
HolographicScreenshot17,416,Relative path (or URL to file in Partner Center),,
HolographicScreenshot18,417,Relative path (or URL to file in Partner Center),,
HolographicScreenshot19,418,Relative path (or URL to file in Partner Center),,
HolographicScreenshot20,419,Relative path (or URL to file in Partner Center),,
HolographicScreenshot21,420,Relative path (or URL to file in Partner Center),,
HolographicScreenshot22,421,Relative path (or URL to file in Partner Center),,
HolographicScreenshot23,422,Relative path (or URL to file in Partner Center),,
HolographicScreenshot24,423,Relative path (or URL to file in Partner Center),,
HolographicScreenshot25,424,Relative path (or URL to file in Partner Center),,
HolographicScreenshot26,425,Relative path (or URL to file in Partner Center),,
HolographicScreenshot27,426,Relative path (or URL to file in Partner Center),,
HolographicScreenshot28,427,Relative path (or URL to file in Partner Center),,
HolographicScreenshot29,428,Relative path (or URL to file in Partner Center),,
HolographicScreenshot30,429,Relative path (or URL to file in Partner Center),,
HolographicScreenshotCaption1,450,Text,,
HolographicScreenshotCaption2,451,Text,,
HolographicScreenshotCaption3,452,Text,,
HolographicScreenshotCaption4,453,Text,,
HolographicScreenshotCaption5,454,Text,,
HolographicScreenshotCaption6,455,Text,,
HolographicScreenshotCaption7,456,Text,,
HolographicScreenshotCaption8,457,Text,,
HolographicScreenshotCaption9,458,Text,,
HolographicScreenshotCaption10,459,Text,,
HolographicScreenshotCaption11,460,Text,,
HolographicScreenshotCaption12,461,Text,,
HolographicScreenshotCaption13,462,Text,,
HolographicScreenshotCaption14,463,Text,,
HolographicScreenshotCaption15,464,Text,,
HolographicScreenshotCaption16,465,Text,,
HolographicScreenshotCaption17,466,Text,,
HolographicScreenshotCaption18,467,Text,,
HolographicScreenshotCaption19,468,Text,,
HolographicScreenshotCaption20,469,Text,,
HolographicScreenshotCaption21,470,Text,,
HolographicScreenshotCaption22,471,Text,,
HolographicScreenshotCaption23,472,Text,,
HolographicScreenshotCaption24,473,Text,,
HolographicScreenshotCaption25,474,Text,,
HolographicScreenshotCaption26,475,Text,,
HolographicScreenshotCaption27,476,Text,,
HolographicScreenshotCaption28,477,Text,,
HolographicScreenshotCaption29,478,Text,,
HolographicScreenshotCaption30,479,Text,,
SurfaceHubScreenshot11,510,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot12,511,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot13,512,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot14,513,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot15,514,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot16,515,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot17,516,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot18,517,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot19,518,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot20,519,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot21,520,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot22,521,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot23,522,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot24,523,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot25,524,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot26,525,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot27,526,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot28,527,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot29,528,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshot30,529,Relative path (or URL to file in Partner Center),,
SurfaceHubScreenshotCaption11,560,Text,,
SurfaceHubScreenshotCaption12,561,Text,,
SurfaceHubScreenshotCaption13,562,Text,,
SurfaceHubScreenshotCaption14,563,Text,,
SurfaceHubScreenshotCaption15,564,Text,,
SurfaceHubScreenshotCaption16,565,Text,,
SurfaceHubScreenshotCaption17,566,Text,,
SurfaceHubScreenshotCaption18,567,Text,,
SurfaceHubScreenshotCaption19,568,Text,,
SurfaceHubScreenshotCaption20,569,Text,,
SurfaceHubScreenshotCaption21,570,Text,,
SurfaceHubScreenshotCaption22,571,Text,,
SurfaceHubScreenshotCaption23,572,Text,,
SurfaceHubScreenshotCaption24,573,Text,,
SurfaceHubScreenshotCaption25,574,Text,,
SurfaceHubScreenshotCaption26,575,Text,,
SurfaceHubScreenshotCaption27,576,Text,,
SurfaceHubScreenshotCaption28,577,Text,,
SurfaceHubScreenshotCaption29,578,Text,,
SurfaceHubScreenshotCaption30,579,Text,,
StoreLogo720x1080,600,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3046104524511659806
StoreLogo1080x1080,601,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3033564646883307451
StoreLogo300x300,602,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3040215166271749825
OverrideLogosForWin10,603,True/False,,False
StoreLogoOverride150x150,604,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3059323575818720763
StoreLogoOverride71x71,605,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3025755825634070154
PromoImage1920x1080,606,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3018553121525877534
PromoImage2400x1200,607,Relative path (or URL to file in Partner Center),,
XboxBrandedKeyArt584x800,608,Relative path (or URL to file in Partner Center),,
XboxTitledHero1920x1080,609,Relative path (or URL to file in Partner Center),,
XboxFeaturedPromo1080x1080,610,Relative path (or URL to file in Partner Center),,
OptionalPromo358x358,611,Relative path (or URL to file in Partner Center),,
OptionalPromo1000x800,612,Relative path (or URL to file in Partner Center),,
OptionalPromo414x180,613,Relative path (or URL to file in Partner Center),,
Feature1,700,Text,,"AI Hub (AI 聊天)：您的操作系统级 AI 助手。与顶尖云端模型 (Claude) 或本地 LLM 聊天、分析文档并直接从侧边栏处理图像。"
Feature2,701,Text,,顺序剪贴板：将多个项目复制到专用槽位，并按顺序粘贴，不会中断您的工作流。
Feature3,702,Text,,"快速快捷方式：将您最喜欢的应用、文件夹或游戏直接拖放到侧边栏中以便即时访问。"
Feature4,703,Text,,置顶：永远不会错过最重要的工作。只需点击一下，即可将任何关键应用程序窗口锁定在其他窗口之上。
Feature5,704,Text,,"颜色选择器：即时截取、复制并保存屏幕上的任何颜色。构建自定义调色板以简化您的设计和开发工作流程。"
Feature6,705,Text,,"KoBox (放置区)：一个临时的数字黑洞。将文件拖放到此处即可即时清理您的工作空间，并配有自动清理选项。"
Feature7,706,Text,,"Snippet Vault：您常用的文本、代码块或模板的个人库。保存一次，需要时即可即时复制。"
Feature8,707,Text,,完全布局控制：在设置中通过拖放重新排序功能。您的自定义布局会在侧边栏上即时更新。
Feature9,708,Text,,可折叠 UI：当您需要最大的屏幕空间时，点击“眼睛”图标即可即时缩小工具栏。"
Feature10,709,Text,,"玻璃与纯色美学：在经典的“纯色”外观或现代、透明的“玻璃”主题之间做出选择。微调模糊度和玻璃透明度，使其与您的桌面完美匹配。"
Feature11,710,Text,,专注模式：内置计时器，让您在不间断的深度工作期间保持状态。
Feature12,711,Text,,"模块化界面：开启或关闭个人功能。隐藏您不使用的工具，打造一个紧凑、无干扰的侧边栏。"
Feature13,712,Text,,"智能自动隐藏截图：一键截取屏幕。KoBar 会在截取期间自动隐藏以获得清晰的图像，然后立即重新出现。"
Feature14,713,Text,,悬浮计算器：一个快速访问的计算器，它停留在所有打开的窗口之上，并可以自由移动到屏幕上的任何位置。"
Feature15,714,Text,,
Feature16,715,Text,,
Feature17,716,Text,,
Feature18,717,Text,,
Feature19,718,Text,,
Feature20,719,Text,,
SearchTerm1,900,Text,,侧边栏
SearchTerm2,901,Text,,计时器
SearchTerm3,902,Text,,专注
SearchTerm4,903,Text,,截图
SearchTerm5,904,Text,,便签
SearchTerm6,905,Text,,组件
SearchTerm7,906,Text,,AI
TrailerToPlayAtTopOfListing,999,Relative path (or URL to file in Partner Center),,
Trailer1,1000,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/trailers/3066134058265495004
Trailer2,1001,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/trailers/3060865680013301477
Trailer3,1002,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/trailers/3043079145698592428
Trailer4,1003,Relative path (or URL to file in Partner Center),,
Trailer5,1004,Relative path (or URL to file in Partner Center),,
Trailer6,1005,Relative path (or URL to file in Partner Center),,
Trailer7,1006,Relative path (or URL to file in Partner Center),,
Trailer8,1007,Relative path (or URL to file in Partner Center),,
Trailer9,1008,Relative path (or URL to file in Partner Center),,
Trailer10,1009,Relative path (or URL to file in Partner Center),,
Trailer11,1010,Relative path (or URL to file in Partner Center),,
Trailer12,1011,Relative path (or URL to file in Partner Center),,
Trailer13,1012,Relative path (or URL to file in Partner Center),,
Trailer14,1013,Relative path (or URL to file in Partner Center),,
Trailer15,1014,Relative path (or URL to file in Partner Center),,
TrailerTitle1,1020,Text,,KoBar 工具
TrailerTitle2,1021,Text,,KoBar 颜色
TrailerTitle3,1022,Text,,KoBar
TrailerTitle4,1023,Text,,
TrailerTitle5,1024,Text,,
TrailerTitle6,1025,Text,,
TrailerTitle7,1026,Text,,
TrailerTitle8,1027,Text,,
TrailerTitle9,1028,Text,,
TrailerTitle10,1029,Text,,
TrailerTitle11,1030,Text,,
TrailerTitle12,1031,Text,,
TrailerTitle13,1032,Text,,
TrailerTitle14,1033,Text,,
TrailerTitle15,1034,Text,,
TrailerThumbnail1,1040,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/trailers/1152922700024382792/assets/3040519435945627316
TrailerThumbnail2,1041,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/trailers/1152922700024382793/assets/3050375015987621510
TrailerThumbnail3,1042,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/trailers/1152922700024382972/assets/3047231204804777143
TrailerThumbnail4,1043,Relative path (or URL to file in Partner Center),,
TrailerThumbnail5,1044,Relative path (or URL to file in Partner Center),,
TrailerThumbnail6,1045,Relative path (or URL to file in Partner Center),,
TrailerThumbnail7,1046,Relative path (or URL to file in Partner Center),,
TrailerThumbnail8,1047,Relative path (or URL to file in Partner Center),,
TrailerThumbnail9,1048,Relative path (or URL to file in Partner Center),,
TrailerThumbnail10,1049,Relative path (or URL to file in Partner Center),,
TrailerThumbnail11,1050,Relative path (or URL to file in Partner Center),,
TrailerThumbnail12,1051,Relative path (or URL to file in Partner Center),,
TrailerThumbnail13,1052,Relative path (or URL to file in Partner Center),,
TrailerThumbnail14,1053,Relative path (or URL to file in Partner Center),,
TrailerThumbnail15,1054,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption1,1055,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption2,1056,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption3,1057,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption4,1058,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption5,1059,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption6,1060,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption7,1061,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption8,1062,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption9,1063,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption10,1064,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption11,1065,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption12,1066,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption13,1067,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption14,1068,Relative path (or URL to file in Partner Center),,
TrailerClosedCaption15,1069,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription1,1070,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription2,1071,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription3,1072,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription4,1073,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription5,1074,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription6,1075,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription7,1076,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription8,1077,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription9,1078,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription10,1079,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription11,1080,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription12,1081,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription13,1082,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription14,1083,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription15,1084,Relative path (or URL to file in Partner Center),,
446: ,,,,
447: ,,,,
448: ,,,,
449: ,,,,
450: ,,,,
451: ,,,,
452: ,,,,
453: ,,,,
454: ,,,,
455: ,,,,
456: ,,,,
457: ,,,,
458: ,,,,
459: ,,,,
460: ,,,,
461: ,,,,
462: ,,,,
463: ,,,,
464: ,,,,
465: ,,,,
466: ,,,,
467: ,,,,
468: ,,,,
469: ,,,,
